predicted,actual
kinestetik,kinestetik
visual,auditori
visual,visual
visual,kinestetik
visual,visual
kinestetik,visual
auditori,auditori
kinestetik,kinestetik
visual,visual
visual,auditori
visual,visual
auditori,auditori
visual,visual
kinestetik,kinestetik
kinestetik,auditori
auditori,auditori
visual,visual
kinestetik,kinestetik
kinestetik,kinestetik
visual,visual
visual,visual
auditori,visual
kinestetik,kinestetik
kinestetik,kinestetik
visual,visual
kinestetik,visual
visual,kinestetik
visual,visual
kinestetik,auditori
visual,kinestetik
visual,kinestetik
visual,auditori
visual,auditori
auditori,auditori
kinestetik,kinestetik
auditori,kinestetik
auditori,auditori
kinestetik,kinestetik
visual,visual
